time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1479085200,7.17,7.22,7.15,7.2,5058900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479171600,7.2,7.23,7.2,7.22,4330700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479258000,7.17,7.25,7.17,7.2,2193200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479344400,7.12,7.21,7.12,7.21,1364800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479430800,7.2,7.22,7.19,7.21,3616300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479690000,7.22,7.23,7.19,7.22,99700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479776400,7.18,7.25,7.18,7.2,2630200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479862800,7.17,7.22,7.17,7.21,2399300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479949200,7.18,7.22,7.18,7.21,410300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480035600,7.22,7.27,7.21,7.27,781300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480294800,7.22,7.27,7.2,7.2,952600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480381200,7.19,7.24,7.16,7.2,3305100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480467600,7.16,7.34,7.03,7.34,4957400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480554000,7.2,7.38,7.2,7.38,497500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480640400,7.38,7.39,7.24,7.25,1892800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480899600,7.24,7.28,7.18,7.18,1736400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480986000,7.18,7.35,7.17,7.28,455300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481072400,7.24,7.33,7.21,7.29,828600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481158800,7.3,7.37,7.23,7.33,2821900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481245200,7.31,7.35,7.28,7.3,2178100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481590800,7.35,7.44,7.21,7.44,1555900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481677200,7.4,7.49,7.36,7.4,2373700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481763600,7.3,7.34,7.3,7.32,917700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481850000,7.35,7.4,7.33,7.36,2492500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482109200,7.34,7.36,7.32,7.32,159800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482195600,7.33,7.43,7.33,7.34,879800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482282000,7.34,7.42,7.28,7.4,1204100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482368400,7.33,7.35,7.21,7.23,544100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482454800,7.22,7.3,7.2,7.23,640800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482800400,7.25,7.28,7.21,7.28,309000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482886800,7.28,7.47,7.28,7.4,998800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482973200,7.41,7.45,7.38,7.41,370000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483059600,7.41,7.58,7.27,7.35,517300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483405200,7.25,7.31,7.24,7.26,193900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483491600,7.3,7.33,7.25,7.27,476700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483578000,7.29,7.54,7.29,7.5,3010700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483664400,7.36,7.53,7.36,7.44,1187900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483923600,7.48,7.48,7.39,7.43,1166900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484010000,7.47,7.55,7.41,7.44,1384300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484096400,7.44,7.53,7.44,7.47,723800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484182800,7.53,7.56,7.4,7.48,1656800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484269200,7.49,7.5,7.39,7.42,1234800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484528400,7.47,7.5,7.38,7.41,888800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484614800,7.46,7.5,7.38,7.4,1266500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484701200,7.47,7.47,7.33,7.34,1524300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484787600,7.34,7.42,7.34,7.37,3069200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484874000,7.32,7.41,7.3,7.3,1744400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485133200,7.35,7.43,7.35,7.38,1503100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485219600,7.4,7.43,7.39,7.4,2976700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485306000,7.46,7.48,7.41,7.44,1058600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485392400,7.5,7.55,7.43,7.48,1903300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485478800,7.48,7.54,7.12,7.5,311400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485824400,7.38,7.45,7.25,7.34,2371000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485997200,7.22,7.36,7.22,7.32,4739400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486083600,7.29,7.38,7.28,7.36,2053100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486342800,7.4,7.48,7.39,7.47,1126600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486429200,7.4,7.7,7.4,7.55,298200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486515600,7.5,7.52,7.34,7.4,910200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486688400,7.47,7.66,7.43,7.6,3337500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486947600,7.5,7.67,7.43,7.61,3185600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487034000,7.61,7.64,7.56,7.62,2021100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487120400,7.61,7.76,7.6,7.7,2516500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487206800,7.7,7.72,7.68,7.7,5520200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487293200,7.69,7.72,7.64,7.68,3925300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487552400,7.71,7.8,7.69,7.7,5168500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
