time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1479085200,7.8,7.8,7.56,7.6,137200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479171600,7.6,7.61,7.28,7.49,318000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479258000,7.48,7.59,7.44,7.59,101400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479344400,7.49,7.54,7.45,7.54,9000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479430800,7.54,7.57,7.52,7.55,223300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479690000,7.55,7.77,7.5,7.65,37200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479776400,7.65,7.65,7.38,7.4,321000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479862800,7.35,7.35,7.25,7.3,82600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479949200,7.3,7.49,7.28,7.47,76400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480035600,7.37,7.41,7.35,7.4,79300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480294800,7.4,7.4,7.2,7.3,72500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480381200,7.68,7.68,7.3,7.36,10600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480467600,7.28,7.36,7.23,7.28,89000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480554000,7.27,7.44,7.26,7.43,28700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480640400,7.42,7.42,7.31,7.34,147500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480899600,7.34,7.4,7.33,7.34,85300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480986000,7.34,7.36,7.31,7.32,697700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481072400,7.33,7.35,7.32,7.34,481600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
