time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1603674000,1.066666,1.199999,0.999999,1.166666,615232515,9414909414.9,2118172999.9999998,1598787000,168034000,740234000,519385999.99999994,NaN
1603760400,1.159999,1.206665,1.146666,1.159999,123214923,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1603846800,1.166666,1.179999,1.146666,1.173332,41762591,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1604019600,1.166666,1.173332,1.119999,1.166666,22959322,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1604278800,1.159999,1.166666,1.133332,1.139999,9364659,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1604365200,1.146666,1.179999,1.139999,1.153332,17192567,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1604451600,1.166666,1.199999,1.159999,1.186665,33837333,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1604538000,1.186665,1.253332,1.179999,1.253332,36208236,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1604624400,1.273332,1.393332,1.233332,1.359999,94108594,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1604883600,1.366665,1.513332,1.359999,1.419999,46555246,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1604970000,1.439999,1.519998,1.426665,1.519998,28683328,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1605056400,1.533332,1.533332,1.446665,1.453332,8765108,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1605142800,1.439999,1.506665,1.433332,1.433332,8869508,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1605229200,1.439999,1.453332,1.413332,1.426665,6270306,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1605488400,1.426665,1.479999,1.379999,1.433332,10221010,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1605574800,1.453332,1.466665,1.433332,1.466665,9424359,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1605661200,1.466665,1.466665,1.433332,1.466665,6878556,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1605747600,1.453332,1.519998,1.433332,1.453332,12562512,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1605834000,1.453332,1.659998,1.446665,1.553332,48689448,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1606093200,1.586665,1.626665,1.573332,1.613332,17835767,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1606179600,1.619998,1.646665,1.566665,1.579998,16844716,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1606266000,1.593332,1.613332,1.566665,1.573332,12423612,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1606352400,1.586665,1.613332,1.566665,1.579998,20087870,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1606438800,1.586665,1.666665,1.579998,1.653332,28487728,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1606698000,1.653332,1.799998,1.653332,1.753332,29242079,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1606784400,1.76666518,1.8333318,1.71999856,1.75999852,19879666.67757272,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1606870800,1.77333185,1.77999851,1.73333188,1.75999852,4928404.13456723,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1606957200,1.75999852,1.78666517,1.72666522,1.73999854,11543109.68381685,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1607043600,1.73333188,1.77333185,1.70666523,1.73333188,11384859.55105667,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1607302800,1.75333186,1.80666515,1.72666522,1.73333188,21175067.7643186,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1607389200,1.75333186,1.99333166,1.7466652,1.93333171,33109227.7761978,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1607475600,1.92666505,1.93333171,1.87333176,1.92666505,16222813.60974296,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1607562000,1.92666505,2.06666493,1.91999839,2.02666497,19676266.50693499,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1607648400,2.03333163,2.06666493,1.87999842,1.89999841,21818268.30391636,NaN,NaN,NaN,NaN,NaN,NaN,NaN
