time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1673485200,0.81,1,0.805,1,654927100,2073933300.0000002,762437000,533390999.99999994,41100000,214576000,229046000,NaN
1673571600,1.03,1.11,1.02,1.06,131080200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1673830800,1.05,1.06,1.01,1.05,42523500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1673917200,1.06,1.17,1.06,1.09,94345000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1674003600,1.08,1.15,1.06,1.14,27366800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1674090000,1.12,1.19,1.12,1.17,29106700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1674176400,1.17,1.19,1.15,1.18,12051000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1674608400,1.18,1.23,1.17,1.21,32093300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1674694800,1.21,1.22,1.18,1.18,12873900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1674781200,1.19,1.21,1.17,1.19,10197400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675040400,1.2,1.2,1.13,1.15,14658900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675126800,1.15,1.17,1.12,1.15,13840000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675299600,1.17,1.26,1.17,1.24,32448200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675386000,1.25,1.25,1.21,1.22,12210800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675731600,1.22,1.22,1.18,1.21,8222500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675818000,1.22,1.27,1.21,1.24,26541900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675904400,1.23,1.27,1.23,1.25,8510400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675990800,1.24,1.26,1.23,1.25,5262700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1676250000,1.25,1.25,1.21,1.23,11038600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1676336400,1.24,1.24,1.2,1.2,5293500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1676422800,1.21,1.24,1.2,1.23,9482100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1676509200,1.22,1.29,1.2,1.25,23033300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1676595600,1.24,1.25,1.21,1.23,11197700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1676854800,1.23,1.23,1.17,1.2,12731200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1676941200,1.2,1.2,1.17,1.2,8332300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1677027600,1.18,1.21,1.17,1.19,8072900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1677114000,1.19,1.23,1.19,1.22,4976500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1677200400,1.2,1.44,1.2,1.4,47138800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1677459600,1.39,1.46,1.39,1.46,19511000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1677546000,1.46,1.48,1.43,1.47,12650300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1677632400,1.47,1.5,1.45,1.49,12626800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1677718800,1.48,1.49,1.45,1.45,5937000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1677805200,1.46,1.47,1.39,1.41,7363300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1678064400,1.41,1.46,1.39,1.46,13720500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1678150800,1.46,1.47,1.42,1.45,10738400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1678237200,1.43,1.47,1.41,1.42,21718500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1678323600,1.43,1.45,1.42,1.44,12578500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1678410000,1.43,1.43,1.35,1.38,25980900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1678669200,1.35,1.36,1.3,1.36,17282900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1678755600,1.36,1.37,1.34,1.37,8297800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1678842000,1.38,1.41,1.36,1.37,8126400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1678928400,1.37,1.37,1.3,1.31,9291500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1679014800,1.33,1.37,1.32,1.36,4511000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1679274000,1.37,1.37,1.32,1.33,2722700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1679360400,1.33,1.37,1.33,1.35,2129400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1679446800,1.36,1.38,1.31,1.34,4492400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1679533200,1.33,1.36,1.32,1.34,2016800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1679619600,1.34,1.34,1.31,1.32,3173600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1679878800,1.32,1.32,1.28,1.28,3921100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1679965200,1.27,1.27,1.22,1.25,6027500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1680051600,1.24,1.25,1.19,1.22,5867000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1680138000,1.23,1.23,1.19,1.21,8678500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1680224400,1.21,1.26,1.2,1.25,6616900,2509459200,726781000,322702000,14498000,157407000,404079000,1
1680483600,1.27,1.27,1.21,1.23,5136100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1680570000,1.23,1.24,1.22,1.23,5649500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1680656400,1.23,1.26,1.21,1.22,7037300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1680742800,1.22,1.25,1.22,1.24,5898500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1680829200,1.24,1.31,1.23,1.29,8761700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1681088400,1.3,1.3,1.25,1.27,6498200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1681174800,1.27,1.27,1.23,1.23,5031500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1681261200,1.23,1.33,1.22,1.33,13440500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1681347600,1.33,1.33,1.28,1.3,4430800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1681434000,1.3,1.34,1.3,1.32,8056200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1681693200,1.33,1.33,1.28,1.3,5822700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1681779600,1.3,1.32,1.29,1.31,2626200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1681866000,1.31,1.31,1.27,1.3,9643100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1681952400,1.3,1.35,1.3,1.31,6787700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1682384400,1.31,1.32,1.27,1.31,5369500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1682470800,1.29,1.3,1.28,1.29,1769300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1682557200,1.28,1.33,1.28,1.32,5017200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1682643600,1.32,1.38,1.31,1.37,8493500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1682989200,1.36,1.37,1.33,1.37,4049800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1683075600,1.34,1.36,1.34,1.36,3247500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1683248400,1.35,1.36,1.23,1.23,9760400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1683507600,1.24,1.34,1.24,1.31,6467600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1683594000,1.31,1.31,1.26,1.27,5262400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1683680400,1.28,1.28,1.24,1.24,2219900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1683766800,1.25,1.27,1.2,1.23,3681700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1683853200,1.23,1.26,1.21,1.24,4449900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1684112400,1.24,1.24,1.22,1.23,1051200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1684198800,1.24,1.26,1.23,1.25,2606400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1684285200,1.25,1.27,1.24,1.25,3680300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1684371600,1.26,1.28,1.23,1.24,2797500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1684458000,1.24,1.27,1.24,1.24,2131800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1684717200,1.24,1.25,1.24,1.24,1262900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1684803600,1.24,1.26,1.23,1.24,1464100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1684890000,1.24,1.25,1.15,1.18,10478200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1684976400,1.17,1.22,1.14,1.21,12675400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1685062800,1.21,1.23,1.2,1.21,4731900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1685322000,1.22,1.26,1.21,1.23,6470300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1685408400,1.23,1.26,1.22,1.25,5891200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1685494800,1.23,1.27,1.22,1.24,9820100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1685581200,1.23,1.26,1.23,1.25,1124900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1685667600,1.25,1.26,1.23,1.23,492600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1686013200,1.23,1.26,1.23,1.26,1620000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1686099600,1.26,1.26,1.24,1.24,1186200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1686186000,1.23,1.23,1.2,1.22,826400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1686272400,1.21,1.23,1.21,1.22,355400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1686531600,1.22,1.25,1.22,1.22,1734000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1686618000,1.22,1.25,1.22,1.24,3357100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1686704400,1.24,1.25,1.23,1.23,2236200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1686790800,1.25,1.27,1.23,1.26,2833300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1686877200,1.26,1.31,1.26,1.3,10850200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1687136400,1.31,1.35,1.27,1.31,3773700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1687222800,1.32,1.33,1.29,1.3,1975000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1687309200,1.3,1.32,1.29,1.32,2410000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1687395600,1.32,1.38,1.32,1.37,7031100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1687482000,1.36,1.38,1.35,1.35,4123400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1687741200,1.35,1.36,1.33,1.35,2059800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1687827600,1.35,1.36,1.32,1.35,2536100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1687914000,1.36,1.36,1.33,1.35,4103200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1688086800,1.35,1.42,1.34,1.4,8139800,2509459200,688702000,275498000,18859000,143731000,413204000,1.07142857142857
1688346000,1.4,1.41,1.37,1.4,4501100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1688432400,1.39,1.44,1.39,1.43,8315900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
