time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1479085200,78.239998,78.839996,78,78.239998,1700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479171600,78.239998,78.519997,78.239998,78.300003,59600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479258000,78.300003,78.300003,78,78.080002,16600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479344400,78,78.5,77.919998,78.5,28100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479430800,78.5,78.800003,77.5,78,36900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479690000,77.5,77.620003,77.5,77.580002,122300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479776400,77.5,78,77.5,77.599998,123800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479862800,77.599998,77.599998,77.5,77.5,113300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479949200,77.5,77.5,77,77,12900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480035600,77.400002,77.400002,76.739998,76.739998,44900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480294800,76.720001,76.739998,76.540001,76.620003,22800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480381200,76.68,76.68,76.5,76.519997,2400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480467600,76.519997,76.519997,75.980003,75.980003,34300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480554000,76,76,75.739998,75.760002,7300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480640400,76.199997,76.199997,75.900002,76,9200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480899600,76.099998,76.379997,76,76.239998,7600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480986000,76.120003,76.699997,76.099998,76.099998,6800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481072400,76.160004,76.160004,76.120003,76.120003,900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481158800,77.220001,77.220001,76.120003,76.199997,500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481245200,76.239998,76.5,76.199997,76.300003,11800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481590800,76.300003,77.800003,76.300003,76.599998,7000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481677200,76.599998,77.779999,76.580002,76.599998,6400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481763600,76.760002,78.5,76.599998,78.5,4700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481850000,76.599998,78.540001,76.599998,78.400002,88400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482109200,77.18,78.400002,77.18,78.400002,222000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482195600,78.400002,78.5,78,78.300003,11200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482282000,78,78.68,78,78.599998,4900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
