time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1478826000,0.695,0.695,0.675,0.68,10685800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479085200,0.68,0.68,0.65,0.67,10115200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479171600,0.67,0.685,0.665,0.68,6620800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479258000,0.68,0.685,0.675,0.685,7145800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479344400,0.68,0.685,0.67,0.67,1902000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479430800,0.67,0.67,0.655,0.67,3723400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479690000,0.66,0.67,0.66,0.66,1092000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479776400,0.665,0.675,0.665,0.67,2399000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479862800,0.67,0.67,0.66,0.665,1503200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479949200,0.66,0.66,0.65,0.65,3612200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480035600,0.65,0.66,0.65,0.655,1985000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480294800,0.655,0.655,0.63,0.64,4324000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480381200,0.635,0.64,0.62,0.625,4504600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480467600,0.625,0.63,0.605,0.615,3787200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480554000,0.625,0.635,0.625,0.625,2552600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480640400,0.625,0.63,0.615,0.62,1168000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480899600,0.62,0.62,0.605,0.61,1319400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480986000,0.61,0.635,0.61,0.625,3449200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481072400,0.635,0.635,0.62,0.625,910800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481158800,0.625,0.625,0.615,0.615,931600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481245200,0.615,0.645,0.615,0.63,4093000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481590800,0.63,0.64,0.625,0.63,2042400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481677200,0.635,0.645,0.63,0.645,2446200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481763600,0.645,0.65,0.63,0.64,3153600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481850000,0.645,0.66,0.635,0.65,4163800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482109200,0.64,0.65,0.635,0.635,1110600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482195600,0.635,0.645,0.63,0.63,1501200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482282000,0.635,0.64,0.625,0.63,1179800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482368400,0.63,0.635,0.625,0.63,1398800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482454800,0.63,0.63,0.62,0.625,1085400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482800400,0.625,0.625,0.615,0.62,1560400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482886800,0.62,0.63,0.615,0.615,1348600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482973200,0.615,0.62,0.615,0.615,1151600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483059600,0.61,0.615,0.605,0.605,2381600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483405200,0.61,0.62,0.605,0.61,1719600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483491600,0.615,0.625,0.605,0.615,2005600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483578000,0.62,0.635,0.615,0.625,5007800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483664400,0.63,0.65,0.63,0.64,9392000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483923600,0.64,0.64,0.635,0.64,2379400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484010000,0.635,0.64,0.63,0.63,1841800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484096400,0.63,0.635,0.63,0.635,2000200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484182800,0.64,0.645,0.63,0.63,2288000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484269200,0.635,0.65,0.63,0.645,5068000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484528400,0.65,0.65,0.625,0.625,2319200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484614800,0.625,0.63,0.62,0.625,1004200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484701200,0.625,0.625,0.615,0.615,2797000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484787600,0.62,0.625,0.61,0.61,2355600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484874000,0.615,0.615,0.595,0.6,8011600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485133200,0.6,0.605,0.585,0.585,7241600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485219600,0.585,0.6,0.56,0.57,10595400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485306000,0.57,0.59,0.565,0.575,11111200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485392400,0.58,0.59,0.58,0.58,3512400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485478800,0.585,0.585,0.57,0.575,3461400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485824400,0.575,0.58,0.57,0.58,1920400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485997200,0.58,0.59,0.575,0.585,5887000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486083600,0.585,0.585,0.575,0.58,1912400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486342800,0.58,0.595,0.575,0.585,7903400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486429200,0.585,0.585,0.575,0.58,3356200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486515600,0.575,0.595,0.575,0.575,9857400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486688400,0.58,0.585,0.575,0.575,5160000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486947600,0.58,0.585,0.57,0.57,7602800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487034000,0.575,0.59,0.575,0.58,14246800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
