time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1478653200,6.85,6.88,6.81,6.81,22600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1478739600,6.9,6.95,6.9,6.95,9200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1478826000,6.95,6.95,6.95,6.95,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479085200,6.9,7,6.9,7,11000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479171600,6.9,6.94,6.9,6.92,865400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479258000,6.9,6.9,6.8,6.8,60000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479344400,6.8,6.8,6.8,6.8,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479430800,6.81,6.81,6.81,6.81,1500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479690000,6.82,6.82,6.8,6.82,34800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479776400,6.82,6.88,6.8,6.8,33700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479862800,6.85,6.9,6.85,6.88,15900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479949200,6.88,6.88,6.88,6.88,4000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480035600,6.85,6.88,6.84,6.85,246700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480294800,6.85,6.85,6.83,6.83,91300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480381200,6.85,6.85,6.85,6.85,121600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480467600,6.85,6.85,6.81,6.85,303400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480554000,6.85,6.85,6.85,6.85,5000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480640400,6.85,6.87,6.85,6.85,145300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480899600,6.85,6.85,6.82,6.85,311000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480986000,6.85,6.86,6.83,6.83,271600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481072400,6.85,6.85,6.84,6.85,306400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481158800,6.85,6.85,6.85,6.85,200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481245200,6.85,6.86,6.85,6.85,100400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481590800,6.85,6.86,6.84,6.85,318900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481677200,6.85,7,6.85,6.98,19500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481763600,6.88,6.88,6.85,6.87,13600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481850000,6.86,6.86,6.86,6.86,17300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482109200,6.85,6.85,6.84,6.85,12600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482195600,6.84,6.84,6.81,6.83,68700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482282000,6.83,6.83,6.82,6.83,7700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482368400,6.84,6.84,6.83,6.83,5200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482454800,6.84,6.84,6.8,6.8,18900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482800400,6.8,6.81,6.75,6.81,20100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
