time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1479690000,1.68,1.69,1.64,1.65,950300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479776400,1.65,1.68,1.63,1.68,2348500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479862800,1.66,1.71,1.65,1.7,2960700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479949200,1.7,1.7,1.66,1.67,120200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480035600,1.69,1.7,1.67,1.69,1008500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480294800,1.68,1.75,1.68,1.72,1833900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480381200,1.7,1.7,1.7,1.7,3851200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480467600,1.7,1.77,1.69,1.77,627100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480554000,1.75,1.75,1.73,1.73,62700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480640400,1.74,1.75,1.73,1.74,2896700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480899600,1.74,1.75,1.72,1.73,2331600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480986000,1.73,1.79,1.73,1.79,1891500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481072400,1.77,1.8,1.77,1.77,1190300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481158800,1.78,1.8,1.78,1.79,598200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481245200,1.79,1.8,1.78,1.79,136300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481590800,1.79,1.8,1.78,1.8,72700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481677200,1.79,1.79,1.74,1.74,273200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481763600,1.76,1.76,1.73,1.74,1169200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481850000,1.74,1.76,1.73,1.76,561900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482109200,1.75,1.75,1.73,1.74,73800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482195600,1.74,1.75,1.73,1.74,1655400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482282000,1.76,1.76,1.74,1.75,99300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482368400,1.74,1.74,1.73,1.73,43600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482454800,1.73,1.73,1.72,1.72,16700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482800400,1.72,1.74,1.72,1.73,22100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482886800,1.72,1.8,1.72,1.8,4102300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482973200,1.79,1.8,1.75,1.77,738300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483059600,1.78,1.9,1.77,1.9,1536400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483405200,1.84,1.84,1.78,1.79,426300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483491600,1.83,1.83,1.78,1.78,1027400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483578000,1.78,1.78,1.77,1.78,1474200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483664400,1.78,1.8,1.78,1.8,465800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483923600,1.79,1.79,1.77,1.77,141900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484010000,1.78,1.8,1.77,1.79,2094000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484096400,1.79,1.82,1.78,1.82,753200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484182800,1.81,1.82,1.8,1.82,165800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484269200,1.82,1.82,1.79,1.82,111100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484528400,1.8,1.82,1.8,1.82,6500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484614800,1.8,1.82,1.8,1.82,100100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484701200,1.8,1.82,1.8,1.81,75600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484787600,1.81,1.83,1.81,1.82,1408800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484874000,1.83,1.83,1.81,1.82,179600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485133200,1.82,1.83,1.81,1.83,2923000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485219600,1.84,1.88,1.83,1.88,2090000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485306000,1.87,1.87,1.85,1.86,69900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485392400,1.86,1.88,1.86,1.88,258600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485478800,1.87,1.9,1.87,1.88,3063000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485824400,1.88,1.95,1.88,1.93,6135000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485997200,1.91,1.91,1.87,1.88,1072000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486083600,1.86,1.86,1.83,1.86,1155100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486342800,1.85,1.86,1.82,1.83,218200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486429200,1.83,1.84,1.81,1.82,565200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486515600,1.82,1.83,1.79,1.8,304800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486688400,1.8,1.81,1.79,1.8,1406500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486947600,1.8,1.82,1.78,1.79,598200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487034000,1.8,1.8,1.78,1.79,158000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487120400,1.78,1.79,1.75,1.77,686300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487206800,1.77,1.78,1.76,1.77,564700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487293200,1.77,1.81,1.75,1.75,1498000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487552400,1.75,1.76,1.75,1.76,686700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487638800,1.76,1.76,1.75,1.76,1175600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487725200,1.76,1.79,1.76,1.78,492500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487811600,1.79,1.79,1.74,1.74,1057000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487898000,1.76,1.76,1.74,1.74,646300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488157200,1.74,1.74,1.73,1.73,500200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488243600,1.74,1.74,1.73,1.73,699600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488330000,1.73,1.73,1.72,1.73,786900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488416400,1.74,1.74,1.72,1.73,2567100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488502800,1.73,1.74,1.72,1.74,1322000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488762000,1.74,1.74,1.73,1.74,1104400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488848400,1.74,1.76,1.74,1.75,1163300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488934800,1.75,1.76,1.75,1.76,2994800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489021200,1.77,1.77,1.75,1.76,1593300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
