time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1478653200,3.956,3.968,3.932,3.936,35504000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1478739600,3.94,3.964,3.94,3.956,36886500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1478826000,3.936,3.956,3.88,3.928,48263000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479085200,3.932,3.932,3.892,3.904,28736000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479171600,3.92,3.944,3.9,3.94,26098500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479258000,3.94,3.952,3.916,3.932,58108000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479344400,3.944,3.944,3.892,3.912,24889500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479430800,3.896,3.92,3.892,3.904,31156000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479690000,3.9,3.912,3.9,3.908,10189500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479776400,3.908,3.928,3.896,3.908,28302000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479862800,3.908,3.92,3.892,3.912,33294000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479949200,3.904,3.916,3.904,3.912,12146500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480035600,3.908,3.916,3.9,3.9,21012500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480294800,3.9,3.912,3.892,3.908,26445500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480381200,3.916,3.924,3.904,3.916,29419500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480467600,3.92,3.92,3.9,3.916,58132499.99999999,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480554000,3.924,3.928,3.904,3.928,22120000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480640400,3.92,3.932,3.908,3.928,24010000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480899600,3.928,3.932,3.904,3.904,30449500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480986000,3.9,3.936,3.9,3.924,16372000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481072400,3.936,3.936,3.92,3.928,26223000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
