time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1479085200,6.72,6.86,6.72,6.81,5412500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479171600,6.85,6.91,6.83,6.84,5282100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479258000,6.9,6.93,6.81,6.83,9004900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479344400,6.79,6.96,6.79,6.93,6213800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479430800,6.92,6.92,6.79,6.81,4387200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479690000,6.8,6.89,6.77,6.87,6132400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479776400,6.9,6.91,6.85,6.89,6182300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479862800,6.85,6.9,6.85,6.9,2629900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479949200,6.87,6.9,6.83,6.85,5470600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480035600,6.81,6.84,6.76,6.79,1440400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480294800,6.79,6.84,6.75,6.79,2078000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480381200,6.88,6.88,6.78,6.8,3735800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480467600,6.77,6.87,6.54,6.83,10780700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480554000,6.85,6.93,6.84,6.86,14279800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480640400,6.86,6.91,6.86,6.88,9123400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480899600,6.81,6.96,6.81,6.86,3849400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480986000,6.9,6.91,6.85,6.86,9372600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481072400,6.92,6.92,6.83,6.85,4913800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481158800,6.86,6.93,6.85,6.9,7401400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481245200,6.84,6.9,6.83,6.87,6345900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481590800,6.92,6.96,6.86,6.89,7094100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481677200,6.9,6.95,6.86,6.9,9204400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481763600,6.85,6.94,6.84,6.85,8114100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481850000,6.85,6.88,6.75,6.85,9278200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482109200,6.69,6.89,6.69,6.88,4248500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482195600,6.88,6.89,6.87,6.88,4718800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482282000,6.9,6.94,6.88,6.92,4940800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
