time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1479085200,4.1,4.17,4.1,4.1,18500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479171600,4.1,4.17,4.1,4.17,31100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479258000,4.2,4.22,4.18,4.2,55200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479344400,4.17,4.2,4.15,4.19,22200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479430800,4.16,4.19,4.16,4.18,19600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479690000,4.17,4.19,4.16,4.19,44300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479776400,4.18,4.25,4.18,4.22,109300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479862800,4.24,4.25,4.21,4.23,57900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479949200,4.24,4.27,4.19,4.25,68100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480035600,4.22,4.47,4.22,4.36,269500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480294800,4.19,4.34,4.18,4.19,283900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480381200,4.2,4.23,4.17,4.21,29500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480467600,4.16,4.22,4.14,4.22,29000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480554000,4.13,4.22,4.13,4.17,9700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480640400,4.21,4.25,4.2,4.24,64800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480899600,4.24,4.24,4.15,4.19,49000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480986000,4.18,4.2,4.18,4.18,20500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481072400,4.16,4.18,4.15,4.15,60200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481158800,4.2,4.21,4.15,4.2,199700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481245200,4.17,4.21,4.17,4.2,69900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481590800,4.21,4.22,4.15,4.17,35200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481677200,4.17,4.21,4.16,4.21,28200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481763600,4.17,4.18,4.14,4.16,94000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481850000,4.16,4.19,4.14,4.19,25800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482109200,4.19,4.19,4.13,4.15,74800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482195600,4.14,4.15,4.12,4.13,40800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482282000,4.12,4.13,4.09,4.1,83100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482368400,4.08,4.08,4.06,4.07,43300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482454800,4.05,4.09,4.05,4.09,7400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482800400,4.09,4.15,4.06,4.07,29700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482886800,4.07,4.09,4.07,4.08,42500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482973200,4.07,4.16,4.07,4.16,8800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483059600,4.16,4.16,4.1,4.15,5400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483405200,4.1,4.12,4.1,4.1,21900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483491600,4.11,4.16,4.11,4.16,55300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483578000,4.17,4.2,4.16,4.2,49800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483664400,4.2,4.25,4.2,4.21,106900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483923600,4.21,4.22,4.16,4.16,59900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484010000,4.13,4.17,4.12,4.14,86300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484096400,4.11,4.12,4.09,4.09,147500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484182800,4.15,4.15,4.09,4.11,57900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484269200,4.1,4.13,4.09,4.11,16000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484528400,4.09,4.15,4.09,4.15,33100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484614800,4.12,4.21,4.12,4.21,18100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484701200,4.18,4.22,4.18,4.2,26500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484787600,4.18,4.27,4.18,4.27,57200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484874000,4.25,4.26,4.23,4.23,46700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485133200,4.24,4.3,4.24,4.3,96000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485219600,4.33,4.48,4.3,4.42,207700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485306000,4.42,4.5,4.39,4.44,138600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485392400,4.4,4.42,4.4,4.4,22800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485478800,4.4,4.45,4.4,4.42,22400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485824400,4.42,4.44,4.41,4.44,38000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485997200,4.44,4.53,4.44,4.45,56900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486083600,4.41,4.53,4.41,4.5,278600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
