time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1479085200,0.815,0.815,0.795,0.81,4685200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479171600,0.81,0.835,0.81,0.82,10434600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479258000,0.83,0.845,0.82,0.84,9867800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479344400,0.835,0.835,0.815,0.815,3660200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479430800,0.815,0.82,0.805,0.805,6294200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479690000,0.81,0.815,0.805,0.815,4146000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479776400,0.815,0.82,0.805,0.82,3047000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479862800,0.815,0.82,0.805,0.82,4263000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479949200,0.815,0.82,0.81,0.815,3291000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480035600,0.815,0.83,0.81,0.83,5370400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480294800,0.825,0.84,0.82,0.835,5272000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480381200,0.84,0.84,0.82,0.83,5627600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480467600,0.83,0.835,0.805,0.835,11723200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480554000,0.835,0.835,0.825,0.83,14360400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480640400,0.825,0.83,0.815,0.825,8925600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480899600,0.82,0.83,0.815,0.825,5407200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480986000,0.82,0.825,0.815,0.82,1281400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
