time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1478826000,4.02,4.11,3.98,4.1,826900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479085200,4.04,4.1,4,4.09,808500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479171600,4.08,4.17,4.08,4.11,3115000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479258000,4.14,4.16,4.09,4.12,426900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479344400,4.12,4.13,4.06,4.1,430100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479430800,4.05,4.12,4.04,4.1,295000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479690000,4.06,4.09,4,4.03,1089700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479776400,4.06,4.1,4.03,4.1,808600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479862800,4.1,4.1,4.01,4.02,754300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479949200,4.01,4.04,4,4,725300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480035600,4.03,4.03,3.91,3.97,1362300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480294800,3.99,3.99,3.89,3.9,434400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480381200,3.87,3.91,3.77,3.85,2000200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480467600,3.8,3.84,3.76,3.8,2125800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480554000,3.8,3.95,3.78,3.93,762300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480640400,3.9,3.95,3.84,3.91,824600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480899600,3.95,3.98,3.81,3.91,752000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480986000,3.91,3.93,3.9,3.9,2024200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481072400,3.9,3.95,3.9,3.91,890200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481158800,3.95,3.95,3.86,3.88,2092900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481245200,3.88,3.95,3.88,3.95,1277800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481590800,3.93,3.99,3.85,3.91,2996400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481677200,3.92,3.92,3.86,3.86,2959000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481763600,3.89,3.93,3.81,3.85,1301200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481850000,3.85,3.86,3.84,3.85,758200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482109200,3.9,3.93,3.8,3.82,2310400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482195600,3.82,3.87,3.82,3.83,542500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482282000,3.87,3.87,3.83,3.83,122800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482368400,3.87,3.87,3.81,3.83,191600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482454800,3.84,3.86,3.83,3.85,124900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482800400,3.83,3.87,3.83,3.86,42500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482886800,3.9,3.9,3.84,3.9,185500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482973200,3.89,3.9,3.86,3.9,230500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483059600,3.9,3.93,3.82,3.91,1131800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483405200,3.92,3.92,3.9,3.9,83500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483491600,3.95,4.02,3.83,3.99,775300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483578000,4.03,4.08,4,4.08,879000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483664400,4.08,4.08,4.04,4.08,2397300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483923600,4.06,4.08,4.06,4.07,979500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484010000,4.06,4.09,4.05,4.06,353000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484096400,4.08,4.1,4.02,4.08,520100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484182800,4.08,4.1,4.08,4.08,602000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484269200,4.08,4.09,4.03,4.04,1095600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484528400,4.05,4.06,3.99,3.99,509200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484614800,4.03,4.05,3.91,4.01,784900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484701200,4.01,4.02,3.94,3.97,1005600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484787600,4.02,4.02,3.96,3.97,671300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484874000,3.97,3.98,3.92,3.96,112300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485133200,3.96,4.05,3.95,3.98,748300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485219600,3.95,4.03,3.95,4.01,420100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485306000,4,4.02,3.97,3.99,297500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485392400,3.98,4.01,3.98,4.01,216700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485478800,4.01,4.06,4.01,4.03,99500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485824400,4.03,4.03,4.03,4.03,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485997200,4.08,4.08,4,4.01,75700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486083600,4.02,4.02,3.99,3.99,270000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486342800,3.98,4.1,3.94,4.05,1116600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486429200,3.97,4.22,3.97,4.21,1289400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486515600,4.21,4.21,4.15,4.2,1107500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486688400,4.18,4.2,4.07,4.16,1454800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486947600,4.16,4.26,4.1,4.26,1314300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487034000,4.26,4.29,4.22,4.28,1321100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487120400,4.28,4.31,4.17,4.2,2187200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487206800,4.21,4.24,4.12,4.13,820000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487293200,4.14,4.27,4.14,4.25,1730400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487552400,4.26,4.32,4.25,4.27,885700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487638800,4.25,4.26,4.25,4.26,122700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487725200,4.27,4.45,4.27,4.41,3049700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487811600,4.45,4.51,4.38,4.41,942400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487898000,4.5,4.5,4.31,4.4,388500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
