time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1478826000,0.3525,0.355,0.345,0.35,10621998,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479085200,0.3475,0.3475,0.34,0.345,3352396,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479171600,0.3475,0.3575,0.3475,0.35,5924396,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479258000,0.35,0.355,0.345,0.35,2077598,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479344400,0.3475,0.35,0.3375,0.3475,4055198,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479430800,0.345,0.3475,0.3425,0.3475,1061598,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479690000,0.3475,0.3475,0.3425,0.345,1431998,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479776400,0.345,0.3525,0.345,0.35,2374398,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479862800,0.3475,0.35,0.3425,0.3475,2575598,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479949200,0.345,0.35,0.3425,0.3475,1169998,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480035600,0.345,0.345,0.34,0.345,1330798,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480294800,0.3425,0.3425,0.3325,0.335,2157998,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480381200,0.3325,0.335,0.325,0.33,1438398,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480467600,0.325,0.33,0.315,0.3225,3373198,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480554000,0.325,0.335,0.325,0.3325,917998,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480640400,0.3325,0.3325,0.325,0.3275,796398,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480899600,0.3275,0.3275,0.3225,0.325,827198,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480986000,0.325,0.3275,0.3225,0.325,827598,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481072400,0.325,0.335,0.325,0.335,998398,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481158800,0.335,0.335,0.3275,0.3325,974398,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481245200,0.3325,0.34,0.33,0.335,898798,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481590800,0.335,0.34,0.335,0.34,1560798,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481677200,0.3375,0.34,0.335,0.3375,873198,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481763600,0.3375,0.3375,0.3325,0.3375,1141598,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481850000,0.3375,0.34,0.335,0.34,821998,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482109200,0.3375,0.3425,0.335,0.3425,1109596,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482195600,0.34,0.3425,0.34,0.3425,627198,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482282000,0.3425,0.3475,0.3425,0.3475,1610398,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482368400,0.345,0.3475,0.3375,0.345,1274798,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482454800,0.3425,0.345,0.3375,0.3425,914398,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482800400,0.3425,0.3475,0.3375,0.3475,577598,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482886800,0.345,0.3475,0.34,0.345,398798,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482973200,0.34,0.3475,0.34,0.3425,1017998,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483059600,0.34,0.3425,0.34,0.34,617998,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483405200,0.34,0.34,0.335,0.34,1070398,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483491600,0.34,0.345,0.3375,0.3425,2069998,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483578000,0.3425,0.365,0.3425,0.365,12040396,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483664400,0.3675,0.3675,0.3575,0.3625,3013198,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483923600,0.3625,0.3625,0.35,0.36,1734398,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484010000,0.3575,0.3625,0.3575,0.3625,1104798,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484096400,0.3575,0.3625,0.355,0.3575,1785198,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484182800,0.3575,0.3625,0.3575,0.36,467598,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484269200,0.3575,0.36,0.3525,0.36,1718798,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484528400,0.355,0.36,0.3525,0.355,638798,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484614800,0.3525,0.355,0.3525,0.355,1252798,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484701200,0.355,0.3575,0.3525,0.355,1063998,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484787600,0.3525,0.355,0.35,0.355,1336798,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484874000,0.3525,0.355,0.35,0.355,1104798,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485133200,0.3575,0.36,0.355,0.3575,559998,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485219600,0.355,0.3625,0.355,0.3625,578398,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485306000,0.36,0.3625,0.355,0.36,574798,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485392400,0.3575,0.3625,0.355,0.3625,781598,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485478800,0.36,0.3625,0.3575,0.3625,133198,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485824400,0.3625,0.365,0.3625,0.3625,466398,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485997200,0.3625,0.3625,0.3575,0.36,909198,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486083600,0.3625,0.38,0.36,0.3725,8067996,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486342800,0.3725,0.38,0.37,0.3725,6267996,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486429200,0.3725,0.3725,0.37,0.3725,361198,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486515600,0.3725,0.375,0.3725,0.3725,854398,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486688400,0.375,0.38,0.3725,0.375,2258398,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486947600,0.3775,0.3775,0.3725,0.375,3335998,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487034000,0.375,0.375,0.3725,0.375,705598,NaN,NaN,NaN,NaN,NaN,NaN,NaN
