time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1479690000,4.61,4.66,4.58,4.58,930400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479776400,4.6,4.7,4.6,4.7,687700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479862800,4.63,4.78,4.61,4.75,1230700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479949200,4.75,4.76,4.68,4.68,911400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480035600,4.68,4.71,4.68,4.7,584800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480294800,4.66,4.7,4.63,4.65,693000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480381200,4.63,4.68,4.63,4.65,991300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480467600,4.64,4.9,4.63,4.9,3837400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480554000,4.68,4.87,4.68,4.82,1637100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480640400,4.81,4.84,4.75,4.76,729000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480899600,4.75,4.79,4.73,4.75,231500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480986000,4.75,4.79,4.74,4.79,401000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481072400,4.79,4.8,4.75,4.8,858900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481158800,4.81,4.86,4.78,4.83,1038900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481245200,4.82,4.84,4.79,4.82,1462000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481590800,4.81,4.88,4.8,4.84,1729000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481677200,4.85,4.87,4.83,4.84,467700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481763600,4.8,4.8,4.76,4.77,825400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481850000,4.79,4.82,4.74,4.82,1983800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482109200,4.76,4.83,4.76,4.82,376400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
