time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1512003600,1.3,1.32,1.15,1.2,69085000,6800839377,NaN,NaN,58896000,585750000,NaN,NaN
1512349200,1.2,1.21,1.12,1.12,22479800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1512435600,1.06,1.16,1.04,1.11,48157700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1512522000,1.1,1.2,1.07,1.16,24477400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1512608400,1.19,1.23,1.17,1.2,24598700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1512694800,1.22,1.28,1.19,1.28,15747000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1512954000,1.28,1.47,1.27,1.37,31079500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1513040400,1.39,1.45,1.38,1.45,15182400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1513126800,1.47,1.52,1.43,1.45,16657600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1513213200,1.43,1.43,1.36,1.36,10648100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1513299600,1.36,1.45,1.34,1.42,33647700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1513558800,1.43,1.46,1.39,1.4,6363900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1513645200,1.42,1.43,1.38,1.43,21376100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1513731600,1.43,1.43,1.38,1.4,9393500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1513818000,1.4,1.41,1.37,1.39,7627700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1513904400,1.39,1.42,1.38,1.41,2935100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1514250000,1.41,1.44,1.39,1.42,4870000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1514336400,1.41,1.46,1.41,1.45,8543800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1514422800,1.46,1.48,1.45,1.45,2826100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1514509200,1.46,1.78,1.43,1.78,13596100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1514854800,1.5,1.5,1.44,1.46,6041700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1514941200,1.47,1.56,1.46,1.52,6153600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1515027600,1.53,1.62,1.53,1.6,10079500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1515114000,1.62,1.74,1.61,1.66,22715900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1515373200,1.66,1.72,1.66,1.69,24966700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1515459600,1.7,1.72,1.6,1.64,11878200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1515546000,1.64,1.66,1.61,1.63,6541300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1515632400,1.63,1.63,1.55,1.57,6836400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1515718800,1.58,1.61,1.52,1.59,18165700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1515978000,1.59,1.6,1.52,1.54,4908000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1516064400,1.53,1.56,1.49,1.52,7079800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1516150800,1.53,1.56,1.52,1.55,7301900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1516237200,1.56,1.59,1.53,1.59,6518800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1516323600,1.59,1.61,1.57,1.59,3991100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1516582800,1.59,1.64,1.58,1.6,8305600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1516669200,1.6,1.6,1.58,1.6,4615900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1516755600,1.6,1.6,1.57,1.57,2354700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1516842000,1.56,1.58,1.55,1.58,2263800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1516928400,1.58,1.59,1.54,1.58,5856700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1517187600,1.58,1.59,1.53,1.58,4623800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1517274000,1.58,1.64,1.55,1.58,6733700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1517533200,1.61,1.62,1.55,1.55,7524700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1517792400,1.51,1.55,1.49,1.53,9533500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
