time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1478826000,1.08,1.088,1.056,1.056,1262875,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479085200,1.048,1.072,1.048,1.048,361875,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479171600,1.056,1.064,1.056,1.064,55750,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479258000,1.072,1.072,1.056,1.072,155125,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479344400,1.064,1.064,1.048,1.064,205625,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479430800,1.056,1.064,1.048,1.064,298375,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479690000,1.064,1.088,1.064,1.072,1889750,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479776400,1.064,1.088,1.056,1.08,3097125,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479862800,1.072,1.08,1.056,1.056,672375,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479949200,1.056,1.064,1.048,1.056,849125,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480035600,1.056,1.072,1.056,1.072,109625,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480294800,1.048,1.072,1.048,1.048,294000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480381200,1.064,1.08,1.056,1.064,3874125,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480467600,1.056,1.096,1.04,1.096,2085750,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480554000,1.088,1.088,1.064,1.08,772375,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480640400,1.08,1.08,1.072,1.08,260000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480899600,1.08,1.08,1.056,1.064,215375,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480986000,1.056,1.056,1.032,1.032,811625,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481072400,1.032,1.032,1.016,1.032,1217000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481158800,1.032,1.032,1.016,1.024,464125,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481245200,1.032,1.056,1.016,1.032,753375,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481590800,1.032,1.048,1.024,1.04,1065125,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481677200,1.032,1.048,1.032,1.032,178875,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481763600,1.04,1.056,1.032,1.04,1303125,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481850000,1.04,1.048,1.032,1.032,199750,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482109200,1.032,1.04,1.024,1.032,489125,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482195600,1.04,1.048,1.032,1.04,1788750,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482282000,1.04,1.048,1.032,1.04,2372500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482368400,1.04,1.048,1.032,1.032,2402750,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482454800,1.032,1.032,1.024,1.032,82625,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482800400,1.032,1.032,1.016,1.016,251000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482886800,1.016,1.032,1.016,1.032,1640125,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482973200,1.024,1.032,1.024,1.032,1662125,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483059600,1.024,1.032,1.024,1.032,1477500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483405200,1.024,1.024,1.008,1.016,378250,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483491600,1.024,1.032,1.008,1.008,2201000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483578000,1.016,1.032,1.008,1.016,1280000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483664400,1.024,1.032,1.016,1.032,3639500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483923600,1.024,1.032,1.016,1.024,4088750,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484010000,1.024,1.032,1.016,1.024,7136750,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484096400,1.032,1.088,1.024,1.088,6276875,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484182800,1.088,1.088,1.056,1.08,831125,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484269200,1.08,1.08,1.048,1.056,1985875,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484528400,1.064,1.064,1.032,1.064,2080250,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484614800,1.072,1.08,1.064,1.064,3763875,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484701200,1.064,1.072,1.056,1.072,1087875,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484787600,1.064,1.072,1.064,1.072,1606375,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484874000,1.072,1.072,1.056,1.056,814125,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485133200,1.064,1.08,1.064,1.072,2211625,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485219600,1.064,1.072,1.056,1.064,8947875,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485306000,1.056,1.064,1.056,1.056,2039000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485392400,1.056,1.064,1.056,1.056,2698375,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485478800,1.056,1.064,1.048,1.056,2962875,NaN,NaN,NaN,NaN,NaN,NaN,NaN
