time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1478826000,1.67,1.67,1.64,1.66,639200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479085200,1.65,1.66,1.64,1.64,2204000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479171600,1.65,1.66,1.64,1.66,888100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479258000,1.66,1.67,1.63,1.64,281000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479344400,1.65,1.65,1.6,1.62,1821100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479430800,1.62,1.62,1.59,1.59,1929100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479690000,1.59,1.62,1.58,1.62,957500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479776400,1.6,1.63,1.59,1.62,788600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479862800,1.63,1.64,1.6,1.62,1043300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479949200,1.63,1.65,1.61,1.62,244600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480035600,1.63,1.64,1.62,1.62,39800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480294800,1.62,1.63,1.61,1.63,366100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480381200,1.62,1.64,1.62,1.62,238500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480467600,1.62,1.63,1.61,1.63,877200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480554000,1.63,1.64,1.61,1.63,651400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480640400,1.63,1.64,1.63,1.63,773700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480899600,1.62,1.64,1.61,1.64,470400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480986000,1.61,1.63,1.61,1.62,624600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481072400,1.62,1.64,1.61,1.64,1122100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481158800,1.64,1.67,1.63,1.65,948100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481245200,1.67,1.72,1.66,1.72,7614500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481590800,1.72,1.72,1.7,1.7,980400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481677200,1.7,1.7,1.68,1.68,436300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
