time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1481245200,1.7,1.7,1.68,1.69,939100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481590800,1.68,1.7,1.68,1.68,479300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481677200,1.68,1.7,1.67,1.67,3063900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481763600,1.67,1.69,1.66,1.66,3560600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481850000,1.67,1.69,1.66,1.68,5271400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482109200,1.67,1.69,1.67,1.68,7029300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482195600,1.68,1.69,1.67,1.68,3675300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482282000,1.69,1.7,1.68,1.69,5896400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482368400,1.7,1.7,1.68,1.68,2209300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482454800,1.68,1.68,1.65,1.65,2009600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482800400,1.67,1.71,1.67,1.71,3083000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482886800,1.71,1.73,1.7,1.71,9005600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482973200,1.71,1.71,1.7,1.71,1913100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483059600,1.72,1.74,1.71,1.72,3294100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483405200,1.73,1.73,1.69,1.71,4489700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483491600,1.71,1.72,1.7,1.71,8030400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483578000,1.72,1.72,1.69,1.7,2165700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483664400,1.7,1.71,1.69,1.7,3743700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483923600,1.7,1.71,1.69,1.69,4326900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484010000,1.7,1.71,1.69,1.71,5503600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484096400,1.71,1.73,1.7,1.73,3763600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484182800,1.73,1.73,1.72,1.72,1760600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484269200,1.73,1.73,1.72,1.73,393800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484528400,1.73,1.74,1.72,1.74,232100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484614800,1.73,1.78,1.72,1.78,4971100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484701200,1.75,1.77,1.75,1.76,265200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484787600,1.75,1.78,1.75,1.78,2462100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484874000,1.76,1.78,1.75,1.75,268700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485133200,1.75,1.77,1.75,1.76,321900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485219600,1.76,1.78,1.76,1.77,6839200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485306000,1.77,1.77,1.75,1.75,1606300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485392400,1.76,1.8,1.75,1.8,4445300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485478800,1.8,1.81,1.78,1.8,3788400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485824400,1.77,1.79,1.77,1.78,1653400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485997200,1.78,1.8,1.77,1.79,2861700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486083600,1.78,1.79,1.76,1.77,331900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486342800,1.77,1.79,1.76,1.77,2603600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486429200,1.77,1.77,1.74,1.77,3422200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486515600,1.77,1.77,1.75,1.75,1508600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486688400,1.75,1.77,1.74,1.77,1704200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486947600,1.76,1.77,1.75,1.77,1457100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487034000,1.76,1.77,1.76,1.77,3089900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487120400,1.77,1.77,1.75,1.76,2226400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487206800,1.77,1.78,1.77,1.78,1428900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487293200,1.78,1.79,1.76,1.78,2289300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487552400,1.78,1.78,1.76,1.77,2817100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487638800,1.76,1.76,1.74,1.75,2076000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487725200,1.75,1.75,1.72,1.75,3906400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487811600,1.75,1.77,1.75,1.75,8525500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487898000,1.75,1.76,1.74,1.74,645100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488157200,1.73,1.73,1.68,1.69,3035000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488243600,1.71,1.71,1.69,1.7,5509400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488330000,1.7,1.73,1.7,1.71,213200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488416400,1.71,1.72,1.7,1.71,3359400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488502800,1.71,1.71,1.68,1.7,1790500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488762000,1.7,1.71,1.69,1.7,1692400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488848400,1.71,1.72,1.71,1.71,2177900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488934800,1.72,1.73,1.71,1.72,430300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489021200,1.72,1.72,1.69,1.7,466500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489107600,1.7,1.71,1.69,1.7,866800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489366800,1.7,1.71,1.69,1.71,1354500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489453200,1.71,1.71,1.7,1.71,360900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489539600,1.7,1.71,1.69,1.7,1338800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489626000,1.71,1.72,1.7,1.72,2217700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489712400,1.73,1.75,1.7,1.75,1728100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489971600,1.73,1.75,1.73,1.75,643000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1490058000,1.75,1.75,1.73,1.74,559500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1490144400,1.73,1.76,1.72,1.73,2811800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1490230800,1.74,1.75,1.74,1.75,141200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1490317200,1.75,1.75,1.73,1.73,836800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1490576400,1.74,1.74,1.71,1.71,2096500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1490662800,1.72,1.73,1.71,1.72,550600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1490749200,1.72,1.72,1.71,1.72,1624400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1490835600,1.72,1.73,1.71,1.72,1221800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1490922000,1.72,1.72,1.71,1.72,536600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1491181200,1.71,1.72,1.71,1.71,208600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1491267600,1.72,1.73,1.71,1.71,542000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1491354000,1.72,1.72,1.71,1.72,705900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1491440400,1.72,1.72,1.71,1.71,755300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1491526800,1.71,1.72,1.7,1.71,952900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1491786000,1.71,1.72,1.71,1.72,121000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1491872400,1.71,1.72,1.7,1.71,407600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1491958800,1.71,1.71,1.7,1.7,1095600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1492045200,1.71,1.71,1.7,1.7,532900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1492131600,1.7,1.7,1.69,1.7,137700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1492390800,1.7,1.7,1.69,1.7,227900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1492477200,1.7,1.71,1.7,1.7,140600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1492563600,1.7,1.71,1.69,1.7,156300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1492650000,1.7,1.71,1.69,1.7,1549900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1492736400,1.7,1.7,1.69,1.69,210000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1493082000,1.7,1.72,1.69,1.72,794800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1493168400,1.7,1.71,1.69,1.7,421900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1493254800,1.7,1.72,1.69,1.7,2327700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1493341200,1.7,1.71,1.69,1.7,282500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1493686800,1.69,1.7,1.69,1.7,653800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1493773200,1.7,1.71,1.7,1.71,101000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1493859600,1.71,1.72,1.7,1.71,4970300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1493946000,1.71,1.71,1.7,1.7,137300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1494205200,1.7,1.72,1.7,1.71,390300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1494291600,1.72,1.72,1.7,1.72,2173500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1494464400,1.72,1.74,1.71,1.72,754100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1494550800,1.72,1.72,1.71,1.71,1446400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1494810000,1.71,1.72,1.71,1.72,522700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1494896400,1.72,1.72,1.7,1.7,1042800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1494982800,1.71,1.73,1.7,1.72,862200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1495069200,1.7,1.71,1.7,1.7,4602600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1495155600,1.7,1.71,1.7,1.7,2415000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1495414800,1.7,1.71,1.68,1.7,1712300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1495501200,1.7,1.71,1.69,1.7,1471700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1495587600,1.7,1.7,1.69,1.7,1746900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1495674000,1.7,1.71,1.7,1.71,3833600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1495760400,1.7,1.71,1.7,1.71,270000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1496019600,1.71,1.71,1.69,1.71,705200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1496106000,1.71,1.71,1.69,1.69,256800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1496192400,1.69,1.7,1.69,1.69,853800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1496278800,1.7,1.71,1.69,1.7,2264900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1496365200,1.7,1.71,1.7,1.71,641700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1496624400,1.71,1.71,1.7,1.7,2634500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1496710800,1.71,1.72,1.7,1.7,2377100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1496797200,1.7,1.71,1.7,1.71,70600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1496883600,1.71,1.73,1.71,1.73,4355200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1496970000,1.73,1.73,1.71,1.73,598600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1497315600,1.73,1.75,1.72,1.75,3334500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1497402000,1.75,1.75,1.73,1.75,1528600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1497488400,1.75,1.76,1.74,1.75,123600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1497574800,1.74,1.75,1.72,1.73,265300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1497834000,1.73,1.75,1.73,1.74,175300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1497920400,1.75,1.75,1.73,1.73,33400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1498006800,1.74,1.74,1.72,1.72,198600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1498093200,1.72,1.73,1.72,1.72,270600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1498179600,1.72,1.73,1.72,1.72,3228100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1498611600,1.73,1.73,1.72,1.73,506500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1498698000,1.73,1.74,1.72,1.74,2254300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1498784400,1.75,1.78,1.73,1.78,4182000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1499043600,1.76,1.76,1.74,1.75,209300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1499130000,1.76,1.76,1.74,1.75,197600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1499216400,1.75,1.75,1.73,1.75,317600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1499302800,1.74,1.74,1.69,1.7,2234200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1499389200,1.7,1.71,1.69,1.7,1060900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1499648400,1.7,1.71,1.69,1.7,1801600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1499734800,1.71,1.71,1.69,1.69,329300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1499821200,1.7,1.7,1.69,1.7,594200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1499907600,1.7,1.7,1.69,1.69,444500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1499994000,1.7,1.7,1.7,1.7,692400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1500253200,1.7,1.71,1.69,1.7,301600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1500339600,1.69,1.7,1.69,1.69,362600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1500426000,1.69,1.7,1.69,1.7,212700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1500512400,1.7,1.7,1.69,1.69,171400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1500598800,1.69,1.7,1.69,1.69,277600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1500858000,1.7,1.7,1.69,1.7,940900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1500944400,1.7,1.71,1.69,1.69,749100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501030800,1.69,1.71,1.69,1.71,2949100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501117200,1.7,1.71,1.68,1.69,2882200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501203600,1.69,1.7,1.68,1.68,947200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501462800,1.69,1.71,1.68,1.71,3857800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501549200,1.72,1.72,1.69,1.71,2584700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501635600,1.71,1.71,1.7,1.71,375000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501722000,1.71,1.71,1.71,1.71,835800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501808400,1.72,1.72,1.7,1.71,1140500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1502067600,1.71,1.72,1.7,1.72,695000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1502154000,1.72,1.73,1.72,1.73,828300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
