time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1478826000,3.59,3.66,3.56,3.65,677700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479085200,3.66,3.76,3.61,3.74,902400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479171600,3.74,3.81,3.71,3.8,3801200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479258000,3.82,3.85,3.75,3.75,2661500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479344400,3.78,3.78,3.63,3.68,1428100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479430800,3.68,3.7,3.63,3.66,440800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479690000,3.66,3.67,3.63,3.64,1117900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479776400,3.64,3.67,3.62,3.65,665100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479862800,3.63,3.67,3.63,3.67,255200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479949200,3.65,3.77,3.65,3.7,851600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480035600,3.7,3.79,3.7,3.77,1167300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480294800,3.8,3.87,3.79,3.84,1114900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480381200,3.84,3.92,3.82,3.84,910400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480467600,3.88,3.93,3.74,3.77,937400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480554000,3.8,3.8,3.7,3.73,627100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480640400,3.75,3.79,3.71,3.77,1354300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480899600,3.78,3.8,3.76,3.78,332600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480986000,3.79,3.79,3.76,3.77,484000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481072400,3.76,3.79,3.74,3.74,584100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481158800,3.78,3.82,3.75,3.76,1713200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481245200,3.8,3.8,3.75,3.77,362000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481590800,3.76,3.81,3.75,3.81,745400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481677200,3.8,3.86,3.8,3.83,603900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481763600,3.83,3.84,3.8,3.82,305000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481850000,3.83,3.85,3.82,3.85,370100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482109200,3.83,3.86,3.83,3.85,370400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482195600,3.84,3.91,3.84,3.87,988000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482282000,3.88,3.89,3.86,3.87,365800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482368400,3.87,3.95,3.87,3.91,1550600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482454800,3.9,3.95,3.9,3.95,763300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482800400,3.95,3.95,3.92,3.95,1873700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482886800,3.96,3.98,3.93,3.94,274000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482973200,3.95,3.96,3.94,3.95,389900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483059600,3.94,3.96,3.9,3.95,473800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483405200,3.96,4.08,3.96,4.05,876400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483491600,4.06,4.15,4.05,4.12,1045200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483578000,4.13,4.25,4.13,4.22,1186400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483664400,4.22,4.25,4.14,4.15,854700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483923600,4.14,4.18,4.11,4.13,387000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484010000,4.12,4.19,4.12,4.16,645500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484096400,4.18,4.27,4.14,4.16,679100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
