time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1478826000,4.24,4.24,4.14,4.22,11300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479085200,4.12,4.19,4.12,4.19,3000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479171600,4.19,4.24,4.19,4.24,120600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479258000,4.25,4.25,4.14,4.14,129300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479344400,4.14,4.14,4.14,4.14,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479430800,4.12,4.26,4.12,4.26,36600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479690000,4.26,4.26,4.14,4.26,126000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479776400,4.14,4.26,4.14,4.25,299100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479862800,4.26,4.26,4.24,4.25,6100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479949200,4.19,4.22,4.15,4.16,18800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480035600,4.15,4.18,4.12,4.18,469100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480294800,4.16,4.2,4.12,4.19,46800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480381200,4.18,4.19,4.13,4.18,755000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480467600,4.15,4.19,4.15,4.17,883800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480554000,4.17,4.18,4.16,4.17,842900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480640400,4.17,4.17,4.16,4.17,1060800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480899600,4.17,4.17,4.15,4.16,379100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480986000,4.15,4.17,4.14,4.15,1297300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481072400,4.12,4.18,4.11,4.13,464900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481158800,4.1,4.12,4.07,4.08,54300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481245200,4.06,4.08,3.95,4,856900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481590800,3.98,4.12,3.98,4.07,540800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481677200,4.09,4.13,4.05,4.1,811400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481763600,4.1,4.1,4,4.07,893900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481850000,4.08,4.12,4.07,4.11,897000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482109200,4.11,4.13,4.11,4.12,579900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482195600,4.1,4.17,4.1,4.15,361000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482282000,4.16,4.16,4.12,4.15,509200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482368400,4.15,4.19,4.14,4.15,462900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482454800,4.15,4.15,4.13,4.13,624400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482800400,4.1,4.13,4.1,4.12,328200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482886800,4.12,4.15,4.12,4.13,36400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482973200,4.11,4.14,4.09,4.13,264900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483059600,4.1,4.15,4.1,4.14,320500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483405200,4.13,4.19,4.13,4.18,654000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483491600,4.05,4.15,4.05,4.15,468600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483578000,4.14,4.22,4.07,4.19,341700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483664400,4.17,4.2,4.14,4.14,263900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483923600,4.14,4.14,4.05,4.05,44700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484010000,4.05,4.09,4.02,4.07,714600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484096400,4.06,4.1,4.06,4.1,402400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484182800,4.08,4.09,4.08,4.08,211600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484269200,4.1,4.14,4.09,4.12,614600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484528400,4.16,4.18,4.11,4.11,100900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484614800,4.1,4.18,4.1,4.15,178900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484701200,4.15,4.18,4.15,4.15,146700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484787600,4.15,4.15,4.14,4.15,111400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484874000,4.16,4.16,4.1,4.1,330500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485133200,4.1,4.11,4.07,4.07,144000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485219600,4.07,4.09,4.04,4.05,850400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485306000,4.06,4.11,4.05,4.11,827200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485392400,4.12,4.17,4.12,4.14,91200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485478800,4.17,4.17,4.12,4.12,58700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485824400,4.14,4.16,4.12,4.16,30400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485997200,4.13,4.13,4.12,4.12,7000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486083600,4.12,4.12,4.12,4.12,161100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486342800,4.12,4.14,4.12,4.13,74600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486429200,4.13,4.13,4.1,4.12,1921600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486515600,4.12,4.12,4.1,4.12,128800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486688400,4.1,4.11,4.09,4.1,65000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486947600,4.13,4.13,4.09,4.1,219000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487034000,4.09,4.1,4.09,4.1,780300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487120400,4.12,4.12,4.08,4.1,816700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487206800,4.1,4.1,4.08,4.09,130200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487293200,4.08,4.09,4.06,4.06,47700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487552400,4.06,4.06,4.05,4.06,119200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487638800,4.06,4.06,4.02,4.05,249300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487725200,4.03,4.03,3.99,4,598200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487811600,4,4,3.93,3.94,461800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487898000,3.99,3.99,3.8,3.84,1815500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488157200,3.94,3.95,3.87,3.95,370200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488243600,3.94,3.98,3.92,3.95,907600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488330000,3.95,3.96,3.92,3.94,713600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488416400,3.94,3.95,3.9,3.94,204600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488502800,3.94,3.96,3.93,3.95,26000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488762000,3.94,3.95,3.94,3.95,56800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488848400,3.94,4.07,3.94,4.04,616000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488934800,4.03,4.03,4,4,13000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489021200,4,4.02,4,4.02,45400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489107600,4.02,4.02,4,4.01,86000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489366800,4.01,4.02,4,4.02,206700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489453200,4,4,3.95,3.95,313900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
