time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1479085200,14.2,14.22,13.94,14.14,10645300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479171600,14.14,14.22,14.04,14.16,20667300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479258000,14.16,14.28,14.16,14.2,15151700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479344400,14.16,14.26,14.16,14.22,11736600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479430800,14.24,14.28,14.16,14.22,7113800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479690000,14.18,14.22,14.1,14.1,9100100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479776400,14.2,14.3,14.12,14.2,14508300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479862800,14.2,14.22,14.08,14.2,14547300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479949200,14.24,14.28,14.12,14.18,8045000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480035600,14.14,14.22,14.14,14.2,5219500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480294800,14.18,14.26,14.14,14.14,11701600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480381200,14.12,14.16,14,14.08,15009900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480467600,14.08,14.14,13.96,14.04,17026400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480554000,14.04,14.1,13.94,13.98,17667000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480640400,13.98,14.1,13.98,14.04,15739800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480899600,14,14.14,14,14.02,9459700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480986000,14.02,14.06,14,14,17459200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481072400,14,14.02,13.96,13.98,6549600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481158800,14,14.04,13.9,14,15421900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481245200,14,14.04,13.94,13.98,10986200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481590800,14.28,14.28,14.02,14.06,11340200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481677200,14.06,14.16,13.96,14,13750900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481763600,13.96,14.02,13.96,13.98,11130800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481850000,13.86,13.86,13.72,13.76,12105700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482109200,13.72,13.76,13.66,13.7,10120800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482195600,13.7,13.74,13.7,13.72,11251200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
