time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1479085200,6.36,6.39,6.28,6.35,3493800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479171600,6.34,6.38,6.31,6.36,4373200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479258000,6.35,6.39,6.34,6.34,3523000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479344400,6.32,6.42,6.3,6.36,2409600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479430800,6.37,6.37,6.3,6.34,3165200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479690000,6.35,6.35,6.27,6.28,4850900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479776400,6.28,6.33,6.28,6.29,4145600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479862800,6.33,6.34,6.24,6.28,4274000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479949200,6.29,6.34,6.25,6.29,2576200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480035600,6.28,6.28,6.14,6.22,1631200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480294800,6.2,6.33,6.2,6.27,1533900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480381200,6.24,6.26,6.13,6.17,3047700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480467600,6.17,6.28,6.17,6.17,6693300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480554000,6.17,6.24,6.14,6.15,6173400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480640400,6.15,6.22,6.09,6.13,2133800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480899600,6.15,6.19,6.13,6.14,3034300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480986000,6.12,6.15,6.09,6.12,2976500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481072400,6.13,6.15,6.09,6.11,4558900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481158800,6.16,6.2,6.11,6.11,3159800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481245200,6.11,6.11,6.01,6.03,1572500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481590800,6.04,6.05,5.94,5.96,4108800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481677200,5.96,6,5.93,5.95,5127900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481763600,5.91,5.95,5.9,5.9,3985200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481850000,5.9,5.96,5.89,5.95,3974700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482109200,5.97,6,5.91,5.95,2005700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482195600,5.95,6.07,5.94,5.98,3082100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482282000,6.02,6.02,5.92,5.95,3404900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482368400,5.97,5.97,5.92,5.95,1064000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482454800,5.91,5.97,5.91,5.95,833700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482800400,5.93,5.99,5.92,5.99,920300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482886800,5.96,6.06,5.96,6.03,2501700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482973200,6.05,6.12,5.98,6.06,6774600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483059600,6.06,6.09,5.81,5.95,5840000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483405200,5.95,5.96,5.9,5.95,2262000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483491600,5.96,5.99,5.93,5.99,2281900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483578000,5.99,6.03,5.99,6.01,3852900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483664400,6.02,6.25,6.01,6.21,4197600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483923600,6.28,6.28,6.13,6.15,468600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484010000,6.18,6.22,6.13,6.16,1036400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484096400,6.16,6.16,6.1,6.13,1671700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
