time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1478653200,1.88,1.9,1.88,1.89,42300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1478739600,1.89,1.93,1.89,1.91,35500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1478826000,1.9,1.93,1.89,1.93,228200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479085200,1.92,1.94,1.9,1.94,204000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479171600,1.94,1.95,1.94,1.95,160300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479258000,1.94,1.95,1.92,1.92,245100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479344400,1.92,1.94,1.91,1.91,14000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479430800,1.91,1.93,1.9,1.92,41400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479690000,1.92,1.93,1.89,1.89,74000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479776400,1.91,1.91,1.89,1.89,85200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479862800,1.91,1.91,1.9,1.91,39700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479949200,1.93,1.94,1.91,1.93,68100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480035600,1.95,1.95,1.93,1.93,107100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480294800,1.94,1.94,1.92,1.93,92500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480381200,1.92,1.94,1.91,1.91,53600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480467600,1.91,1.93,1.9,1.92,224400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480554000,1.91,1.92,1.9,1.91,94600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480640400,1.92,1.92,1.91,1.91,34900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480899600,1.91,1.91,1.89,1.89,278700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480986000,1.89,1.9,1.88,1.9,385000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481072400,1.9,1.9,1.9,1.9,24500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481158800,1.89,1.89,1.88,1.88,6800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481245200,1.88,1.88,1.88,1.88,44700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481590800,1.89,1.9,1.88,1.89,47400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481677200,1.91,1.91,1.89,1.9,22700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481763600,1.89,1.9,1.89,1.9,47500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481850000,1.91,1.91,1.88,1.88,97200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482109200,1.89,1.9,1.88,1.88,168300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482195600,1.88,1.88,1.82,1.83,78600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482282000,1.89,1.9,1.85,1.86,34600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482368400,1.87,1.87,1.83,1.87,17100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482454800,1.87,1.88,1.87,1.87,12600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482800400,1.88,1.9,1.87,1.9,20300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482886800,1.87,1.87,1.84,1.86,49700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482973200,1.9,1.9,1.85,1.86,20800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483059600,1.86,1.86,1.86,1.86,7600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483405200,1.86,1.87,1.85,1.85,39700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483491600,1.86,1.9,1.86,1.9,81300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483578000,1.91,1.92,1.9,1.91,66400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483664400,1.92,1.94,1.91,1.92,98600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483923600,1.89,1.89,1.88,1.88,16700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484010000,1.88,1.88,1.88,1.88,1600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484096400,1.88,1.91,1.88,1.9,54100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484182800,1.9,1.91,1.88,1.9,541800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484269200,1.9,1.91,1.89,1.9,71100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484528400,1.89,1.9,1.87,1.9,723700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484614800,1.9,1.9,1.88,1.9,848100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484701200,1.9,1.91,1.88,1.89,77400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484787600,1.91,1.91,1.88,1.89,102700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484874000,1.9,1.9,1.87,1.88,12600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485133200,1.88,1.9,1.86,1.9,98600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485219600,1.91,1.92,1.91,1.92,33000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485306000,1.9,1.93,1.88,1.9,85600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485392400,1.9,1.9,1.88,1.88,19000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485478800,1.9,1.91,1.88,1.88,76900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
