time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1478826000,1.82,1.82,1.76,1.78,650100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479085200,1.78,1.78,1.73,1.76,451400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479171600,1.76,1.77,1.75,1.76,103900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479258000,1.78,1.81,1.76,1.78,94700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479344400,1.79,1.79,1.79,1.79,32600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479430800,1.8,1.8,1.79,1.79,92600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479690000,1.79,1.8,1.79,1.8,100600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479776400,1.81,1.81,1.8,1.81,201800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479862800,1.8,1.8,1.79,1.8,98900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479949200,1.8,1.8,1.79,1.8,325000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480035600,1.8,1.8,1.78,1.8,302200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480294800,1.82,1.82,1.8,1.81,189500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480381200,1.81,1.81,1.79,1.8,374500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480467600,1.78,1.81,1.78,1.81,489900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480554000,1.8,1.8,1.78,1.78,624100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480640400,1.8,1.81,1.78,1.81,1290200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480899600,1.81,1.81,1.8,1.8,32300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480986000,1.81,1.81,1.79,1.8,177600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481072400,1.79,1.79,1.79,1.79,9000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481158800,1.8,1.8,1.79,1.79,88000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481245200,1.79,1.8,1.79,1.79,42400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481590800,1.81,1.81,1.79,1.81,126000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481677200,1.81,1.81,1.8,1.8,389000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481763600,1.8,1.81,1.8,1.81,3698600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481850000,1.81,1.82,1.8,1.8,1411600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482109200,1.8,1.85,1.8,1.82,726600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482195600,1.84,1.84,1.81,1.81,379700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482282000,1.81,1.82,1.8,1.8,373400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482368400,1.81,1.83,1.79,1.8,1398700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482454800,1.8,1.8,1.8,1.8,2013200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482800400,1.8,1.81,1.8,1.81,330500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482886800,1.78,1.78,1.75,1.76,212300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482973200,1.76,1.77,1.76,1.77,62800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483059600,1.76,1.78,1.76,1.78,131100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483405200,1.78,1.78,1.75,1.75,243500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483491600,1.75,1.8,1.75,1.79,526800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483578000,1.78,1.84,1.78,1.84,553300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483664400,1.83,1.85,1.82,1.84,676800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483923600,1.85,1.85,1.81,1.82,157400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484010000,1.8,1.8,1.79,1.8,180000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484096400,1.79,1.8,1.78,1.79,214900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484182800,1.79,1.79,1.78,1.79,64100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484269200,1.79,1.82,1.78,1.79,699600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484528400,1.78,1.8,1.78,1.8,34500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484614800,1.78,1.79,1.78,1.78,299700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484701200,1.79,1.79,1.78,1.79,164500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484787600,1.79,1.79,1.77,1.78,207600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484874000,1.78,1.78,1.77,1.78,287400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485133200,1.77,1.78,1.76,1.78,238900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485219600,1.77,1.78,1.77,1.77,227500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485306000,1.77,1.78,1.77,1.78,17500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485392400,1.78,1.79,1.77,1.78,79000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485478800,1.77,1.77,1.77,1.77,400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485824400,1.78,1.78,1.77,1.77,290300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485997200,1.77,1.78,1.77,1.78,65500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486083600,1.78,1.8,1.78,1.79,546100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486342800,1.79,1.83,1.79,1.83,1003300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486429200,1.83,1.83,1.79,1.79,229200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486515600,1.79,1.79,1.78,1.78,759600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486688400,1.78,1.8,1.78,1.8,634600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486947600,1.79,1.8,1.79,1.8,287200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487034000,1.8,1.81,1.79,1.8,605500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487120400,1.8,1.81,1.78,1.79,1126400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487206800,1.79,1.79,1.78,1.78,232400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487293200,1.79,1.79,1.78,1.78,99400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487552400,1.79,1.79,1.78,1.78,101700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487638800,1.78,1.79,1.78,1.79,111900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487725200,1.79,1.8,1.78,1.78,466500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487811600,1.79,1.79,1.78,1.78,468500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487898000,1.78,1.8,1.78,1.8,443300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488157200,1.79,1.81,1.77,1.79,871100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488243600,1.79,1.8,1.79,1.8,194400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488330000,1.8,1.8,1.8,1.8,330000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488416400,1.8,1.8,1.79,1.8,560300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488502800,1.8,1.8,1.79,1.79,61400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488762000,1.79,1.81,1.79,1.8,291400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488848400,1.79,1.8,1.78,1.8,298900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1488934800,1.8,1.83,1.79,1.83,1535500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489021200,1.82,1.82,1.79,1.82,1217800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489107600,1.8,1.8,1.79,1.8,1271800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489366800,1.8,1.8,1.79,1.79,195500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489453200,1.79,1.8,1.79,1.8,682200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489539600,1.8,1.8,1.79,1.8,331100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489626000,1.79,1.8,1.79,1.79,533300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489712400,1.79,1.8,1.78,1.8,291700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1489971600,1.79,1.81,1.79,1.79,918600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1490058000,1.79,1.81,1.79,1.8,2319600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1490144400,1.79,1.81,1.79,1.8,2492500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1490230800,1.8,1.81,1.79,1.8,1457700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1490317200,1.81,1.83,1.8,1.83,134300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1490576400,1.81,1.82,1.79,1.8,2573800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1490662800,1.8,1.82,1.8,1.81,366000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1490749200,1.81,1.81,1.79,1.79,1659200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1490835600,1.79,1.8,1.78,1.8,309000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1490922000,1.79,1.8,1.78,1.79,393700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1491181200,1.8,1.8,1.79,1.8,952300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1491267600,1.8,1.81,1.8,1.8,863800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1491354000,1.81,1.81,1.8,1.8,240600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1491440400,1.81,1.81,1.79,1.8,151500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1491526800,1.8,1.8,1.79,1.79,679000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1491786000,1.79,1.8,1.78,1.79,458200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1491872400,1.8,1.81,1.8,1.8,1320400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1491958800,1.8,1.81,1.8,1.8,1046200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1492045200,1.81,1.81,1.8,1.8,924800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1492131600,1.8,1.81,1.79,1.8,652100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1492390800,1.8,1.81,1.8,1.8,623800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1492477200,1.8,1.8,1.79,1.8,127600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1492563600,1.81,1.84,1.81,1.84,404600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1492650000,1.85,1.86,1.84,1.86,1033700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1492736400,1.86,1.89,1.86,1.86,822800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1493082000,1.87,1.88,1.86,1.87,401600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1493168400,1.87,1.88,1.86,1.86,182400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1493254800,1.87,1.87,1.85,1.86,342800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1493341200,1.85,1.87,1.85,1.86,189000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1493686800,1.87,1.88,1.86,1.86,611500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1493773200,1.87,1.88,1.86,1.86,448400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1493859600,1.86,1.87,1.85,1.86,286700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1493946000,1.86,1.86,1.85,1.86,281600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
