time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1478826000,1.05,1.06,1.03,1.04,3648400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479085200,1.05,1.05,1.02,1.04,2869700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479171600,1.04,1.07,1.04,1.05,3190800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479258000,1.05,1.06,1.04,1.06,3128900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479344400,1.06,1.06,1.04,1.06,1596500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479430800,1.06,1.06,1.05,1.06,1232900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479690000,1.06,1.07,1.03,1.04,4126600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479776400,1.05,1.05,1.03,1.05,1828500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479862800,1.05,1.06,1.04,1.06,1995400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479949200,1.05,1.06,1.04,1.05,2233100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480035600,1.05,1.06,1.04,1.05,1859600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480294800,1.05,1.05,1.03,1.05,1540900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480381200,1.05,1.05,1.03,1.05,1641500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480467600,1.03,1.04,1,1.04,3074800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480554000,1.02,1.04,1.02,1.02,1986700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480640400,1.02,1.03,1.01,1.03,2230200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480899600,1.02,1.03,1.02,1.02,969000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480986000,1.02,1.03,1.01,1.01,1590900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481072400,1.01,1.02,1.01,1.02,1492300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481158800,1.01,1.03,1.01,1.03,3444300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481245200,1.03,1.1,1.03,1.07,7284700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481590800,1.07,1.11,1.07,1.1,9871300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481677200,1.11,1.11,1.08,1.08,2341200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481763600,1.07,1.08,1.06,1.06,3695300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481850000,1.07,1.09,1.07,1.07,3054100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482109200,1.07,1.08,1.06,1.06,2109000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482195600,1.06,1.08,1.06,1.07,1723100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482282000,1.07,1.09,1.07,1.07,2193500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482368400,1.07,1.08,1.06,1.06,839800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482454800,1.07,1.07,1.06,1.06,698000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482800400,1.06,1.08,1.06,1.06,783000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482886800,1.07,1.07,1.06,1.06,670000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482973200,1.06,1.07,1.05,1.05,1355800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483059600,1.05,1.06,1.05,1.05,933600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483405200,1.05,1.06,1.02,1.05,4951000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483491600,1.06,1.1,1.05,1.09,4768800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483578000,1.09,1.11,1.07,1.1,7036400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
