time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1478826000,1.19,1.205,1.18,1.185,10802000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479085200,1.175,1.185,1.135,1.14,4928600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479171600,1.14,1.19,1.14,1.185,4005200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479258000,1.185,1.21,1.185,1.195,6348400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479344400,1.195,1.2,1.17,1.185,1600600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479430800,1.18,1.185,1.155,1.165,3859200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479690000,1.175,1.195,1.175,1.19,1765800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479776400,1.19,1.19,1.165,1.18,3047400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479862800,1.185,1.19,1.17,1.185,1814400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479949200,1.195,1.2,1.18,1.195,1887600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480035600,1.195,1.21,1.19,1.2,2169000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480294800,1.2,1.205,1.18,1.2,1381400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480381200,1.2,1.2,1.175,1.18,1472400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480467600,1.17,1.2,1.155,1.2,1706400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480554000,1.165,1.225,1.165,1.215,6060400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480640400,1.21,1.225,1.21,1.22,12277600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480899600,1.21,1.225,1.205,1.22,13620200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480986000,1.17,1.195,1.145,1.17,1770800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481072400,1.17,1.17,1.155,1.17,3382200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481158800,1.17,1.175,1.15,1.175,935800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481245200,1.17,1.17,1.155,1.165,1151200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481590800,1.165,1.175,1.15,1.165,4811800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481677200,1.165,1.18,1.15,1.165,2042200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481763600,1.165,1.2,1.16,1.185,2909000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481850000,1.18,1.2,1.17,1.17,194200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482109200,1.175,1.19,1.17,1.185,446600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482195600,1.18,1.195,1.165,1.19,3632000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482282000,1.19,1.205,1.19,1.2,2167200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482368400,1.18,1.205,1.18,1.19,3956000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482454800,1.18,1.18,1.16,1.175,2153800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482800400,1.175,1.175,1.165,1.17,98000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482886800,1.17,1.18,1.165,1.17,171400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482973200,1.17,1.19,1.16,1.185,1392000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483059600,1.18,1.19,1.165,1.18,3844000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483405200,1.18,1.195,1.175,1.19,1069600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483491600,1.2,1.2,1.17,1.195,4075600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483578000,1.185,1.235,1.185,1.23,1356200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483664400,1.2,1.235,1.2,1.23,2099200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483923600,1.23,1.24,1.22,1.23,825800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484010000,1.24,1.265,1.23,1.245,3100000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484096400,1.24,1.26,1.24,1.245,2190800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484182800,1.245,1.265,1.245,1.265,3159400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484269200,1.255,1.255,1.23,1.235,2830400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484528400,1.23,1.23,1.2,1.205,1360400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484614800,1.205,1.22,1.185,1.22,5350200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484701200,1.22,1.225,1.21,1.22,1685000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484787600,1.225,1.245,1.22,1.22,1397000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484874000,1.22,1.235,1.215,1.22,512000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485133200,1.235,1.255,1.23,1.24,3580000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485219600,1.25,1.255,1.245,1.25,6701200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485306000,1.26,1.265,1.245,1.25,5013600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485392400,1.26,1.27,1.255,1.255,4674200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485478800,1.255,1.265,1.255,1.26,241200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485824400,1.26,1.27,1.255,1.26,318200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485997200,1.26,1.285,1.26,1.275,1973400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486083600,1.27,1.305,1.27,1.29,4256200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486342800,1.285,1.305,1.265,1.305,3288800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486429200,1.305,1.34,1.305,1.34,11190200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486515600,1.34,1.34,1.315,1.325,2453200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486688400,1.34,1.34,1.31,1.325,2437600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486947600,1.325,1.35,1.325,1.34,3691800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487034000,1.345,1.36,1.345,1.35,7047000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487120400,1.355,1.37,1.35,1.36,4331800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487206800,1.365,1.37,1.35,1.355,2691800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487293200,1.355,1.365,1.34,1.36,4556800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1487552400,1.36,1.36,1.335,1.35,3797400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
