time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1478826000,2.48,2.51,2.46,2.5,203300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479085200,2.43,2.46,2.43,2.45,2800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479171600,2.48,2.5,2.46,2.5,362400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479258000,2.5,2.5,2.45,2.5,571000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479344400,2.45,2.5,2.45,2.5,299200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479430800,2.53,2.53,2.4,2.42,325500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479690000,2.45,2.46,2.34,2.36,311400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479776400,2.35,2.39,2.35,2.37,548400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479862800,2.4,2.4,2.37,2.37,69100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479949200,2.37,2.42,2.37,2.4,259200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480035600,2.42,2.43,2.4,2.42,23600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480294800,2.43,2.43,2.35,2.39,159400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480381200,2.39,2.39,2.34,2.35,138800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480467600,2.33,2.37,2.23,2.37,1530700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480554000,2.35,2.39,2.31,2.38,398600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480640400,2.39,2.39,2.39,2.39,5600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480899600,2.39,2.4,2.37,2.39,287700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480986000,2.34,2.38,2.33,2.35,322500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481072400,2.36,2.37,2.28,2.36,889800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481158800,2.36,2.36,2.28,2.3,1029700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481245200,2.3,2.3,2.23,2.23,1051400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481590800,2.23,2.32,2.22,2.3,619700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481677200,2.26,2.33,2.25,2.3,912500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
