time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1562720400,0.366666,0.466666,0.366666,0.466666,602137802,1100401106.4000099,192652000,77281000,13252391,38308000,110336000,NaN
1562806800,0.49,0.509999,0.473333,0.476666,262622361.99999997,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1562893200,0.48,0.483333,0.453333,0.456666,71317870,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1563152400,0.46,0.476666,0.446666,0.453333,57305156.00000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1563238800,0.46,0.46,0.443333,0.45,38201138,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1563325200,0.453333,0.46,0.44,0.443333,31322430,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1563411600,0.44,0.446666,0.42,0.426666,34057534,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1563498000,0.426666,0.44,0.413333,0.423333,30175230,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1563757200,0.423333,0.43,0.41,0.416666,11527510,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1563843600,0.416666,0.45,0.4,0.446666,84753384,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1563930000,0.443333,0.446666,0.426666,0.426666,34383934,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1564016400,0.426666,0.44,0.426666,0.436666,11760310,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1564102800,0.436666,0.443333,0.43,0.43,13617312,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1564362000,0.433333,0.456666,0.43,0.45,27636026,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1564534800,0.453333,0.48,0.453333,0.46,65760064,1100401106.4000099,231830181,50573084,15123000,46908000,176516586,2.1739152173913
1564621200,0.456666,0.47,0.453333,0.466666,14457014,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1564707600,0.46,0.46,0.443333,0.446666,17954116,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1564966800,0.443333,0.446666,0.433333,0.44,7042206,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1565053200,0.423333,0.446666,0.42,0.433333,12121812,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1565139600,0.436666,0.436666,0.426666,0.43,5622004,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1565226000,0.43,0.443333,0.43,0.43,8085008,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1565312400,0.436666,0.446666,0.436666,0.436666,10758310,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1565658000,0.433333,0.436666,0.416666,0.423333,11353810,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1565744400,0.433333,0.446666,0.433333,0.436666,16725016,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1565830800,0.426666,0.433333,0.423333,0.426666,8907308,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1565917200,0.43,0.433333,0.426666,0.43,4171804,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1566176400,0.433333,0.44,0.43,0.433333,8061008,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1566262800,0.436666,0.453333,0.436666,0.446666,27670826,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1566349200,0.446666,0.453333,0.443333,0.453333,5277304,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1566435600,0.456666,0.506666,0.456666,0.496666,81698180,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1566522000,0.493333,0.513333,0.483333,0.486666,45435644,NaN,NaN,NaN,NaN,NaN,NaN,NaN
