time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1481072400,30.2,30.4,29.6,29.6,227835,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481158800,29.8,31,29.6,31,484760,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481245200,31.2,31.6,31,31.6,612265,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481590800,32.8,33.2,32.2,32.8,1090015,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481677200,32.8,33,31.8,32.2,520315,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481763600,31.2,32.2,31,32.2,673595,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481850000,32.2,32.6,31.6,32.6,734345,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482109200,32.6,32.6,31.6,31.8,680460,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482195600,31.8,32.2,31.8,32.2,390975,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482282000,32.4,33.8,32.2,33.6,1747405,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482368400,33.2,33.4,32.4,32.6,733040,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482454800,32.6,32.8,32,32,506895,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482800400,32,32.8,32,32.6,405210,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482886800,32.8,33.2,32.4,33,546290,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482973200,32.6,33.2,32.4,33,314570,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483059600,33.2,33.6,32,32.4,1074445,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483405200,32.6,33.6,32.4,33.6,909245,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483491600,33.4,34.8,33.2,34.6,1514180,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483578000,34.6,35.2,34.4,35,1055875,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483664400,35,35.6,34.8,35,1020125,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483923600,35.2,35.4,34.4,34.8,754745,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484010000,34.8,34.8,34.2,34.4,662905,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484096400,34.2,34.2,33.6,33.6,552110,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484182800,34.2,34.6,33.8,34,773360,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484269200,34,34.4,33.8,33.8,572205,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484528400,33.8,33.8,33.2,33.2,287700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484614800,33.2,33.6,33.2,33.4,317465,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484701200,33.4,33.8,33.2,33.4,423320,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484787600,33.2,34.2,33,34,704210,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1484874000,34,34,33.4,33.6,205990,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485133200,34,34.2,33.6,33.6,283025,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485219600,33.8,34,33.2,33.8,356865,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485306000,33.6,34.4,33.6,33.8,748280,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485392400,34,34.8,33.8,34.8,823005,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485478800,34.8,35.2,34.6,35,394790,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485824400,35,35,34.2,34.4,310470,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1485997200,34.8,35.2,34.2,34.6,679355,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486083600,34.8,35,34.4,34.8,1068485,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486342800,34.8,37.2,34.6,37,1440575,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486429200,37,37,35.8,36,733185,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486515600,35.6,36.8,35.6,36.8,556340,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486688400,37,37,36.6,37,459040,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1486947600,37.2,37.4,36.8,37.2,783485,NaN,NaN,NaN,NaN,NaN,NaN,NaN
