time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1478826000,0.345,0.37,0.345,0.37,15000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479085200,0.35,0.375,0.35,0.375,15900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479171600,0.345,0.355,0.345,0.355,71400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479258000,0.36,0.375,0.36,0.37,420000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479344400,0.36,0.36,0.36,0.36,5500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479430800,0.365,0.37,0.365,0.365,90100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479690000,0.365,0.365,0.365,0.365,60500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479776400,0.37,0.375,0.37,0.375,134700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479862800,0.365,0.365,0.365,0.365,81000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479949200,0.365,0.365,0.36,0.365,370000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480035600,0.365,0.365,0.36,0.365,92900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480294800,0.36,0.36,0.36,0.36,71000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480381200,0.365,0.37,0.365,0.365,470000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480467600,0.365,0.365,0.365,0.365,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480554000,0.36,0.36,0.36,0.36,6000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480640400,0.36,0.36,0.36,0.36,105500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480899600,0.365,0.365,0.365,0.365,150000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480986000,0.365,0.365,0.365,0.365,25000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481072400,0.365,0.37,0.365,0.37,322800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481158800,0.37,0.37,0.365,0.365,417000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481245200,0.365,0.37,0.365,0.365,175600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481590800,0.365,0.365,0.365,0.365,65000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481677200,0.365,0.365,0.365,0.365,15500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481763600,0.37,0.375,0.37,0.375,188800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481850000,0.375,0.38,0.375,0.38,298200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482109200,0.38,0.395,0.38,0.395,440500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482195600,0.4,0.41,0.395,0.4,2563600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
