time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1478826000,0.92,0.92,0.91,0.915,245300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479085200,0.91,0.91,0.9,0.9,253000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479171600,0.905,0.91,0.905,0.91,233000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479258000,0.91,0.91,0.905,0.905,258800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479344400,0.91,0.91,0.905,0.905,82000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479430800,0.91,0.92,0.91,0.91,193800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479690000,0.91,0.925,0.91,0.915,261400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479776400,0.92,0.92,0.915,0.92,50200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479862800,0.92,0.92,0.915,0.915,92700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479949200,0.915,0.92,0.905,0.91,227200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480035600,0.91,0.91,0.91,0.91,195000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480294800,0.91,0.915,0.91,0.91,149300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480381200,0.915,0.915,0.91,0.915,76000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480467600,0.91,0.91,0.91,0.91,44000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480554000,0.91,0.915,0.91,0.91,341500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480640400,0.91,0.92,0.91,0.92,26100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480899600,0.92,0.92,0.91,0.915,49500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480986000,0.915,0.93,0.915,0.925,153000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481072400,0.92,0.92,0.92,0.92,89000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481158800,0.92,0.93,0.92,0.925,127000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481245200,0.92,0.92,0.915,0.915,266600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481590800,0.915,0.915,0.905,0.905,132200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481677200,0.91,0.915,0.91,0.91,76300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481763600,0.91,0.91,0.91,0.91,157000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481850000,0.905,0.905,0.905,0.905,90000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482109200,0.91,0.91,0.905,0.91,49700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482195600,0.91,0.91,0.91,0.91,26000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482282000,0.91,0.91,0.9,0.905,203900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482368400,0.905,0.91,0.9,0.91,107000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482454800,0.91,0.91,0.895,0.895,120400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482800400,0.905,0.905,0.895,0.895,91000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482886800,0.895,0.9,0.895,0.9,37700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482973200,0.895,0.9,0.895,0.9,82100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483059600,0.895,0.905,0.895,0.905,32200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
