time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1478826000,4.24,4.31,4.21,4.28,6811200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479085200,4.22,4.33,4.21,4.28,3104400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479171600,4.24,4.32,4.24,4.3,5160900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479258000,4.24,4.3,4.24,4.27,4193300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479344400,4.28,4.31,4.25,4.26,3453700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479430800,4.26,4.28,4.22,4.28,1739500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479690000,4.3,4.35,4.27,4.3,3195900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479776400,4.35,4.35,4.28,4.35,2546100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479862800,4.37,4.39,4.29,4.31,1661900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479949200,4.3,4.31,4.28,4.28,2770200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480035600,4.3,4.34,4.27,4.29,2506900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480294800,4.35,4.35,4.29,4.31,2813200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480381200,4.33,4.34,4.28,4.32,2561100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480467600,4.26,4.37,4.24,4.37,13006900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480554000,4.33,4.34,4.28,4.3,2338100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480640400,4.33,4.33,4.28,4.3,3441300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480899600,4.29,4.33,4.28,4.3,709000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
