time,open,high,low,close,Volume,Total common shares outstanding,Total assets,Total liabilities,Operating income,Total revenue,Shareholders&#039; equity,Dividend yield %
1478826000,1.22,1.22,1.18,1.18,1710400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479085200,1.18,1.19,1.17,1.17,541800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479171600,1.18,1.19,1.17,1.17,795800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479258000,1.22,1.22,1.17,1.18,1127500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479344400,1.18,1.18,1.16,1.16,880700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479430800,1.17,1.18,1.17,1.17,853900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479690000,1.17,1.21,1.17,1.21,409800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479776400,1.21,1.22,1.18,1.21,368800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479862800,1.21,1.21,1.18,1.18,412900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1479949200,1.2,1.2,1.17,1.17,432100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480035600,1.18,1.19,1.18,1.18,269000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480294800,1.19,1.19,1.18,1.18,223900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480381200,1.18,1.19,1.18,1.19,413900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480467600,1.18,1.19,1.14,1.15,2198900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480554000,1.16,1.16,1.13,1.13,1414000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480640400,1.13,1.15,1.1,1.1,1710200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480899600,1.12,1.13,1.11,1.13,301800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1480986000,1.13,1.15,1.13,1.15,491000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481072400,1.15,1.15,1.13,1.14,230700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481158800,1.14,1.15,1.14,1.15,1477400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481245200,1.15,1.15,1.14,1.15,275200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481590800,1.14,1.14,1.13,1.13,283800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481677200,1.13,1.15,1.13,1.13,88200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481763600,1.13,1.14,1.13,1.13,1365900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1481850000,1.12,1.12,1.1,1.1,3354300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482109200,1.1,1.11,1.08,1.09,1653500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482195600,1.09,1.09,1.08,1.08,621900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482282000,1.08,1.08,1.07,1.07,688600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482368400,1.08,1.08,1.07,1.07,3740900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482454800,1.07,1.1,1.07,1.09,3320300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482800400,1.09,1.09,1.06,1.06,2073800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482886800,1.06,1.08,1.06,1.08,3623500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1482973200,1.09,1.1,1.07,1.08,832100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1483059600,1.08,1.09,1.07,1.09,1648400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
