index,metric,value,horizon_months,index,metric,value,horizon_months,index,metric,value,horizon_months,index,metric,value,horizon_months
BM,pearson_ic,0.09394722775269465,1,BM,pearson_ic,-0.02104375988731056,3,BM,pearson_ic,0.030864151731415553,6,BM,pearson_ic,0.1323639507534671,12
IdioVol3F,pearson_ic,0.10515930618837269,1,IdioVol3F,pearson_ic,-0.023793088435087466,3,IdioVol3F,pearson_ic,0.047540329172990045,6,IdioVol3F,pearson_ic,-0.000734185607333129,12
Investment,pearson_ic,0.026485746746878983,1,Investment,pearson_ic,-0.054551305065173146,3,Investment,pearson_ic,0.048661484022952166,6,Investment,pearson_ic,-0.04436308205942795,12
Mom12m,pearson_ic,0.05283997286906702,1,Mom12m,pearson_ic,-0.043769791676875516,3,Mom12m,pearson_ic,0.03891859115452439,6,Mom12m,pearson_ic,0.06565155039564588,12
OperProf,pearson_ic,0.16642115177782715,1,OperProf,pearson_ic,0.025511096103909964,3,OperProf,pearson_ic,0.007092544051420746,6,OperProf,pearson_ic,0.008151166505663223,12
Size,pearson_ic,0.18186319534127843,1,Size,pearson_ic,-0.041962616020034565,3,Size,pearson_ic,0.020757163495407314,6,Size,pearson_ic,0.21209922958016106,12
BM,spearman_ic,0.1124750924308109,1,BM,spearman_ic,0.02037623892469381,3,BM,spearman_ic,0.0422617230966377,6,BM,spearman_ic,0.11187993366045507,12
IdioVol3F,spearman_ic,0.16305172767810447,1,IdioVol3F,spearman_ic,-0.004168929546536128,3,IdioVol3F,spearman_ic,0.03545928537265885,6,IdioVol3F,spearman_ic,0.03211085408427804,12
Investment,spearman_ic,0.036336543713994605,1,Investment,spearman_ic,-0.01926648639156515,3,Investment,spearman_ic,0.014875199876437397,6,Investment,spearman_ic,-0.0018571393744148048,12
Mom12m,spearman_ic,0.0691324675894897,1,Mom12m,spearman_ic,-0.05585482035571592,3,Mom12m,spearman_ic,0.04480131699008028,6,Mom12m,spearman_ic,0.04415392481304091,12
OperProf,spearman_ic,0.16453501135772244,1,OperProf,spearman_ic,-0.010204950665691997,3,OperProf,spearman_ic,-0.01573126980271605,6,OperProf,spearman_ic,0.022262950228401027,12
Size,spearman_ic,0.23200437004350677,1,Size,spearman_ic,0.03928936771256915,3,Size,spearman_ic,0.0244835768142426,6,Size,spearman_ic,0.17652751522535434,12
BM,n_obs,720.0,1,BM,n_obs,720.0,3,BM,n_obs,720.0,6,BM,n_obs,720.0,12
IdioVol3F,n_obs,720.0,1,IdioVol3F,n_obs,720.0,3,IdioVol3F,n_obs,720.0,6,IdioVol3F,n_obs,720.0,12
Investment,n_obs,720.0,1,Investment,n_obs,720.0,3,Investment,n_obs,720.0,6,Investment,n_obs,720.0,12
Mom12m,n_obs,720.0,1,Mom12m,n_obs,720.0,3,Mom12m,n_obs,720.0,6,Mom12m,n_obs,720.0,12
OperProf,n_obs,720.0,1,OperProf,n_obs,720.0,3,OperProf,n_obs,720.0,6,OperProf,n_obs,720.0,12
Size,n_obs,720.0,1,Size,n_obs,720.0,3,Size,n_obs,720.0,6,Size,n_obs,720.0,12
